activity_id,opportunity_id,rep_id,activity_type,activity_date,duration_minutes,outcome
39,6,102,Call,2025-08-31,32,Negative / Objection
40,6,102,Email,2025-09-10,0,No Response
41,6,102,Email,2025-08-16,0,Positive - Advancing
42,6,102,Email,2025-07-27,0,Neutral
43,6,102,Call,2025-08-24,6,Negative / Objection
44,7,102,Call,2024-09-30,34,Positive - Advancing
45,7,102,Call,2024-09-05,5,Positive - Advancing
46,7,102,Call,2024-09-27,46,Neutral
47,7,102,Email,2024-08-29,0,No Response
48,7,102,Email,2024-09-10,0,Positive - Advancing
49,8,138,Meeting,2026-07-04,49,Positive - Advancing
50,8,138,Email,2026-09-01,0,No Response
51,8,138,Email,2026-08-17,0,Neutral
52,8,138,Call,2026-09-10,5,Negative / Objection
53,8,138,Demo,2026-08-19,15,Negative / Objection
54,9,178,Meeting,2026-04-11,17,No Response
55,9,178,Meeting,2026-02-16,40,No Response
56,10,64,Demo,2025-03-23,30,Neutral
57,10,64,Demo,2025-02-05,23,Neutral
58,10,64,Email,2025-01-22,0,Negative / Objection
59,10,64,Email,2025-04-19,0,Negative / Objection
60,10,64,Email,2025-03-20,0,Negative / Objection
61,10,64,Call,2025-04-15,46,Neutral
62,10,64,Email,2025-04-17,0,No Response
63,11,11,Call,2025-10-14,34,Neutral
64,11,11,Email,2025-10-16,0,Neutral
65,11,11,Call,2025-10-16,32,Positive - Advancing
66,11,11,Email,2025-10-16,0,Positive - Advancing
67,11,11,Call,2025-08-10,13,Positive - Advancing
68,11,11,Meeting,2025-08-03,19,Negative / Objection
69,11,11,Call,2025-09-23,29,Positive - Advancing
70,11,11,Email,2025-09-29,0,Positive - Advancing
71,12,157,Proposal Discussion,2024-03-08,0,Negative / Objection
72,12,157,Demo,2024-04-28,36,Negative / Objection
73,12,157,Email,2024-05-14,0,Positive - Advancing
74,12,157,Demo,2024-05-16,28,Positive - Advancing
75,12,157,Email,2024-05-14,0,Positive - Advancing
76,12,157,Meeting,2024-04-05,42,Positive - Advancing
77,13,129,Email,2024-03-16,0,Neutral
78,13,129,Email,2024-05-06,0,No Response
79,14,9,Meeting,2024-10-27,44,Positive - Advancing
80,14,9,Call,2024-10-25,20,Positive - Advancing
81,14,9,Call,2024-08-19,44,Positive - Advancing
82,14,9,Call,2024-07-30,26,Positive - Advancing
83,14,9,Demo,2024-09-26,42,Positive - Advancing
84,14,9,Email,2024-10-28,0,Neutral
85,14,9,Demo,2024-09-16,23,Positive - Advancing
86,14,9,Call,2024-07-31,15,Positive - Advancing
87,14,9,Email,2024-10-17,0,Positive - Advancing
88,15,69,Meeting,2024-10-24,10,Negative / Objection
89,15,69,Call,2024-10-17,47,Negative / Objection
90,15,69,Proposal Discussion,2024-09-19,0,Positive - Advancing
91,15,69,Meeting,2024-10-20,7,Negative / Objection
92,15,69,Call,2024-10-22,50,Positive - Advancing
93,16,23,Proposal Discussion,2025-10-01,0,Neutral
94,16,23,Meeting,2025-10-21,37,No Response
95,16,23,Call,2025-11-30,7,Negative / Objection
96,17,173,Meeting,2025-01-04,19,No Response
97,17,173,Email,2025-01-02,0,No Response
98,17,173,Call,2025-01-03,14,Neutral
99,17,173,Demo,2025-01-13,37,Neutral
100,18,84,Meeting,2024-10-18,25,No Response
101,18,84,Email,2024-08-24,0,Negative / Objection
102,18,84,Meeting,2024-10-08,37,Positive - Advancing
103,18,84,Demo,2024-10-18,31,Positive - Advancing
104,18,84,Demo,2024-09-09,25,No Response
105,18,84,Meeting,2024-08-26,9,Positive - Advancing
106,18,84,Call,2024-09-14,12,Positive - Advancing
107,18,84,Call,2024-10-10,21,Neutral
108,19,63,Meeting,2025-08-29,43,Neutral
109,19,63,Email,2025-09-01,0,Positive - Advancing
110,19,63,Call,2025-07-28,30,Positive - Advancing
111,20,9,Call,2024-05-02,24,Positive - Advancing
112,20,9,Call,2024-06-19,14,Negative / Objection
113,20,9,Email,2024-05-25,0,Negative / Objection
114,20,9,Call,2024-05-06,28,Neutral
115,20,9,Call,2024-05-11,19,Positive - Advancing
116,20,9,Call,2024-05-16,27,No Response
117,20,9,Email,2024-05-09,0,Negative / Objection
118,20,9,Call,2024-05-16,31,Negative / Objection
119,21,86,Meeting,2025-02-05,16,No Response
120,21,86,Email,2025-03-17,0,Positive - Advancing
121,21,86,Demo,2025-03-27,35,Positive - Advancing
122,21,86,Meeting,2025-02-11,33,No Response
123,21,86,Meeting,2025-03-17,42,Negative / Objection
124,22,152,Call,2025-07-31,13,Positive - Advancing
125,22,152,Email,2025-07-20,0,Neutral
126,22,152,Email,2025-07-21,0,Positive - Advancing
127,22,152,Call,2025-07-31,24,No Response
128,22,152,Email,2025-07-09,0,Positive - Advancing
129,22,152,Call,2025-08-03,40,Neutral
130,22,152,Email,2025-07-11,0,Neutral
131,22,152,Email,2025-08-02,0,Neutral
132,22,152,Call,2025-07-24,28,Positive - Advancing
133,22,152,Call,2025-08-02,10,Positive - Advancing
134,22,152,Demo,2025-07-27,34,Positive - Advancing
135,23,121,Proposal Discussion,2024-08-18,0,Neutral
136,23,121,Call,2024-09-01,13,Positive - Advancing
137,23,121,Email,2024-08-10,0,Positive - Advancing
138,23,121,Demo,2024-08-04,10,Positive - Advancing
139,24,123,Call,2024-08-08,22,Neutral
140,24,123,Call,2024-07-06,21,Neutral
141,24,123,Meeting,2024-08-11,34,No Response
142,24,123,Email,2024-09-01,0,Negative / Objection
143,25,23,Meeting,2024-08-19,30,Negative / Objection
144,25,23,Email,2024-10-21,0,Positive - Advancing
145,25,23,Email,2024-10-18,0,Positive - Advancing
146,25,23,Demo,2024-11-06,31,Positive - Advancing
147,25,23,Demo,2024-10-17,26,Positive - Advancing
148,25,23,Meeting,2024-08-21,24,Positive - Advancing
149,25,23,Email,2024-09-11,0,Positive - Advancing
150,25,23,Meeting,2024-10-19,19,Neutral
151,26,108,Email,2026-03-21,0,Positive - Advancing
152,26,108,Email,2026-02-12,0,Positive - Advancing
153,26,108,Email,2026-01-26,0,Positive - Advancing
154,26,108,Email,2025-12-16,0,Positive - Advancing
155,26,108,Proposal Discussion,2026-01-06,0,Positive - Advancing
156,27,3,Email,2026-04-20,0,No Response
157,28,170,Meeting,2024-06-04,19,Neutral
158,28,170,Call,2024-07-11,55,Positive - Advancing
159,28,170,Meeting,2024-06-27,26,Negative / Objection
160,28,170,Call,2024-03-06,44,Neutral
161,28,170,Demo,2024-04-08,7,Positive - Advancing
162,28,170,Call,2024-07-01,24,No Response
163,28,170,Call,2024-03-22,32,Positive - Advancing
164,28,170,Call,2024-03-25,24,Positive - Advancing
165,28,170,Email,2024-03-03,0,Positive - Advancing
166,28,170,Email,2024-03-18,0,Positive - Advancing
167,29,152,Email,2024-07-02,0,Negative / Objection
168,29,152,Call,2024-09-14,5,Positive - Advancing
169,29,152,Email,2024-08-21,0,Negative / Objection
170,29,152,Proposal Discussion,2024-08-22,0,Positive - Advancing
171,30,98,Meeting,2026-05-01,27,Positive - Advancing
172,31,179,Call,2025-06-12,40,Negative / Objection
173,31,179,Call,2025-07-04,47,No Response
174,31,179,Call,2025-04-23,32,Neutral
175,32,23,Call,2026-03-13,33,Neutral
176,32,23,Email,2026-01-25,0,Negative / Objection
177,32,23,Meeting,2026-01-20,19,Negative / Objection
178,32,23,Proposal Discussion,2026-01-30,0,Negative / Objection
179,32,23,Meeting,2026-01-29,35,Positive - Advancing
180,33,133,Call,2026-09-09,29,Positive - Advancing
181,33,133,Call,2026-09-18,38,No Response
182,33,133,Demo,2026-05-28,17,Positive - Advancing
183,33,133,Email,2026-07-24,0,Neutral
184,33,133,Meeting,2026-06-02,24,Positive - Advancing
185,33,133,Call,2026-08-11,12,Positive - Advancing
186,33,133,Demo,2026-07-17,17,Positive - Advancing
187,33,133,Call,2026-08-01,38,Positive - Advancing
188,33,133,Email,2026-05-14,0,No Response
189,33,133,Email,2026-08-27,0,Negative / Objection
190,34,108,Email,2026-06-01,0,Positive - Advancing
191,34,108,Email,2026-05-06,0,Negative / Objection
192,34,108,Email,2026-05-21,0,No Response
193,34,108,Email,2026-04-24,0,Neutral
194,34,108,Call,2026-06-03,20,Negative / Objection
195,34,108,Call,2026-04-27,38,Positive - Advancing
196,34,108,Call,2026-04-20,33,Positive - Advancing
197,35,114,Call,2025-01-04,5,Positive - Advancing
198,35,114,Email,2024-09-27,0,Positive - Advancing
199,35,114,Call,2024-09-04,50,Positive - Advancing
200,36,155,Email,2026-08-07,0,Neutral
201,36,155,Call,2026-08-25,31,Negative / Objection
202,36,155,Email,2026-08-19,0,No Response
203,36,155,Meeting,2026-08-11,42,Positive - Advancing
204,36,155,Email,2026-08-07,0,No Response
205,36,155,Email,2026-08-14,0,No Response
206,37,43,Meeting,2025-07-06,43,Positive - Advancing
207,37,43,Email,2025-06-05,0,Positive - Advancing
208,37,43,Email,2025-07-04,0,Negative / Objection
209,37,43,Call,2025-06-04,24,Positive - Advancing
210,37,43,Meeting,2025-06-09,37,Positive - Advancing
211,37,43,Email,2025-06-12,0,Positive - Advancing
212,37,43,Call,2025-06-30,33,No Response
213,37,43,Call,2025-07-05,40,Neutral
214,37,43,Call,2025-06-26,40,Positive - Advancing
215,37,43,Meeting,2025-07-02,22,Positive - Advancing
216,37,43,Email,2025-06-28,0,Positive - Advancing
217,38,79,Proposal Discussion,2025-07-28,0,Negative / Objection
218,38,79,Call,2025-07-28,31,Neutral
219,38,79,Email,2025-10-13,0,Negative / Objection
220,38,79,Call,2025-10-19,11,Positive - Advancing
221,39,25,Call,2026-02-16,47,Positive - Advancing
222,39,25,Proposal Discussion,2026-02-21,0,Positive - Advancing
223,39,25,Call,2026-03-06,28,No Response
224,39,25,Call,2026-02-08,32,Positive - Advancing
225,40,52,Call,2025-12-08,13,Positive - Advancing
226,40,52,Call,2025-07-07,13,No Response
227,40,52,Meeting,2025-12-02,12,No Response
228,40,52,Proposal Discussion,2025-07-14,0,Positive - Advancing
229,40,52,Call,2025-07-03,27,Negative / Objection
230,40,52,Call,2025-11-18,14,Positive - Advancing
231,40,52,Call,2025-07-12,33,Neutral
232,40,52,Email,2025-12-08,0,Neutral
233,40,52,Demo,2025-09-04,36,Negative / Objection
234,40,52,Meeting,2025-07-01,20,Positive - Advancing
235,40,52,Proposal Discussion,2025-11-02,0,Neutral
236,40,52,Email,2025-11-06,0,Neutral
237,41,174,Email,2024-06-29,0,No Response
238,41,174,Email,2024-07-22,0,Neutral
239,41,174,Call,2024-07-28,14,Positive - Advancing
240,41,174,Email,2024-07-05,0,No Response
241,41,174,Proposal Discussion,2024-06-22,0,Positive - Advancing
242,41,174,Demo,2024-07-10,24,Positive - Advancing
243,41,174,Call,2024-08-06,21,Positive - Advancing
244,41,174,Email,2024-07-28,0,Positive - Advancing
245,41,174,Email,2024-07-26,0,Negative / Objection
246,42,40,Meeting,2026-09-05,26,Positive - Advancing
247,42,40,Email,2026-08-27,0,Negative / Objection
248,42,40,Email,2026-08-09,0,Positive - Advancing
249,42,40,Call,2026-09-14,15,Neutral
250,42,40,Call,2026-08-08,33,No Response
251,42,40,Call,2026-08-21,21,No Response
252,42,40,Call,2026-08-19,16,Neutral
253,42,40,Call,2026-07-22,24,Neutral
254,42,40,Email,2026-09-18,0,Positive - Advancing
255,42,40,Meeting,2026-08-21,48,Positive - Advancing
256,43,55,Meeting,2024-10-28,6,Positive - Advancing
257,43,55,Call,2024-08-27,17,Positive - Advancing
258,43,55,Meeting,2025-01-12,6,No Response
259,44,80,Demo,2026-08-22,36,Positive - Advancing
260,44,80,Email,2026-08-07,0,No Response
261,45,78,Email,2025-07-21,0,Neutral
262,45,78,Proposal Discussion,2025-07-26,0,Negative / Objection
263,45,78,Email,2025-07-31,0,Negative / Objection
264,45,78,Meeting,2025-08-06,37,No Response
265,46,142,Call,2026-06-07,13,Positive - Advancing
266,46,142,Proposal Discussion,2026-06-20,0,Positive - Advancing
267,46,142,Email,2026-07-03,0,Neutral
268,46,142,Email,2026-06-07,0,Negative / Objection
269,46,142,Call,2026-06-21,44,No Response
270,46,142,Meeting,2026-06-26,24,Positive - Advancing
271,47,24,Call,2024-12-04,13,Positive - Advancing
272,47,24,Email,2024-12-19,0,Positive - Advancing
273,47,24,Email,2024-11-04,0,Neutral
274,47,24,Call,2024-11-13,21,Positive - Advancing
275,47,24,Email,2024-11-23,0,Positive - Advancing
276,47,24,Meeting,2024-11-22,8,Negative / Objection
277,47,24,Proposal Discussion,2024-11-01,0,Positive - Advancing
278,47,24,Call,2024-12-16,24,Positive - Advancing
279,47,24,Call,2024-11-14,30,No Response
280,47,24,Email,2024-12-14,0,No Response
281,48,155,Email,2025-02-20,0,Neutral
282,48,155,Email,2025-01-27,0,Negative / Objection
283,48,155,Demo,2025-02-03,22,Positive - Advancing
284,48,155,Call,2025-01-23,43,Negative / Objection
285,48,155,Call,2025-01-26,24,Negative / Objection
286,49,128,Call,2025-06-04,22,Positive - Advancing
287,49,128,Call,2025-06-24,27,Positive - Advancing
288,49,128,Demo,2025-05-30,25,Positive - Advancing
289,49,128,Email,2025-06-06,0,Negative / Objection
290,49,128,Email,2025-05-28,0,Positive - Advancing
291,49,128,Demo,2025-05-20,51,Negative / Objection
292,49,128,Email,2025-06-08,0,No Response
293,50,170,Email,2024-06-24,0,Positive - Advancing
294,50,170,Call,2024-07-16,16,Positive - Advancing
295,50,170,Email,2024-06-23,0,Positive - Advancing
296,50,170,Demo,2024-06-21,40,Positive - Advancing
297,50,170,Meeting,2024-07-23,49,Neutral
298,51,76,Call,2026-07-10,20,Neutral
299,51,76,Demo,2026-08-04,38,Negative / Objection
300,51,76,Call,2026-07-03,18,Negative / Objection
301,51,76,Call,2026-09-18,29,Positive - Advancing
302,51,76,Meeting,2026-07-30,37,Neutral
303,51,76,Meeting,2026-07-07,34,Negative / Objection
304,52,81,Meeting,2025-05-15,8,Neutral
305,52,81,Demo,2025-07-27,46,Neutral
306,52,81,Call,2025-06-01,50,Positive - Advancing
307,52,81,Call,2025-12-03,54,Negative / Objection
308,52,81,Email,2025-04-27,0,Positive - Advancing
309,52,81,Email,2025-11-06,0,Negative / Objection
310,52,81,Call,2025-11-12,32,Positive - Advancing
311,53,18,Call,2025-05-16,43,No Response
312,53,18,Call,2025-05-18,17,Neutral
313,53,18,Call,2025-05-01,25,Positive - Advancing
314,53,18,Call,2025-05-02,33,Positive - Advancing
315,53,18,Email,2025-05-06,0,Positive - Advancing
316,54,99,Call,2025-05-11,27,Positive - Advancing
317,54,99,Email,2025-01-13,0,No Response
318,54,99,Proposal Discussion,2025-02-10,0,Negative / Objection
319,54,99,Call,2025-01-25,29,Neutral
320,54,99,Email,2025-02-16,0,Negative / Objection
321,54,99,Call,2025-03-08,24,Negative / Objection
322,54,99,Meeting,2025-02-21,5,Negative / Objection
323,54,99,Call,2025-02-14,51,Positive - Advancing
324,55,179,Call,2026-05-31,24,Positive - Advancing
325,55,179,Email,2026-05-30,0,No Response
326,55,179,Proposal Discussion,2026-05-07,0,Negative / Objection
327,55,179,Meeting,2026-05-20,9,Positive - Advancing
328,55,179,Email,2026-05-14,0,Positive - Advancing
329,55,179,Meeting,2026-05-05,26,Positive - Advancing
330,55,179,Email,2026-05-05,0,Positive - Advancing
331,55,179,Call,2026-05-24,30,Positive - Advancing
332,55,179,Meeting,2026-05-04,43,No Response
333,56,70,Proposal Discussion,2025-09-03,0,Positive - Advancing
334,56,70,Meeting,2025-08-11,37,Negative / Objection
335,56,70,Call,2025-09-10,38,Negative / Objection
336,57,158,Meeting,2024-03-16,44,Negative / Objection
337,57,158,Proposal Discussion,2024-04-06,0,Negative / Objection
338,57,158,Email,2024-04-16,0,No Response
339,57,158,Proposal Discussion,2024-04-16,0,Positive - Advancing
340,58,55,Email,2026-03-16,0,Positive - Advancing
341,58,55,Call,2026-02-25,41,Positive - Advancing
342,58,55,Meeting,2026-03-08,28,Positive - Advancing
343,58,55,Meeting,2026-02-15,61,No Response
344,58,55,Email,2026-03-16,0,Positive - Advancing
345,58,55,Call,2026-03-14,25,Negative / Objection
346,59,158,Email,2025-10-22,0,Positive - Advancing
347,59,158,Email,2025-10-30,0,Positive - Advancing
348,59,158,Email,2025-10-26,0,Positive - Advancing
349,59,158,Proposal Discussion,2025-09-08,0,Negative / Objection
350,59,158,Call,2025-10-02,28,Positive - Advancing
351,60,19,Call,2025-12-09,39,Positive - Advancing
352,60,19,Proposal Discussion,2025-12-26,0,Negative / Objection
353,60,19,Meeting,2025-12-17,16,No Response
354,60,19,Call,2025-11-05,20,Positive - Advancing
355,61,30,Call,2025-06-19,20,Negative / Objection
356,62,49,Call,2026-04-28,18,Neutral
357,62,49,Email,2026-07-25,0,Negative / Objection
358,62,49,Demo,2026-07-12,50,Negative / Objection
359,62,49,Proposal Discussion,2026-05-01,0,No Response
360,62,49,Call,2026-05-04,5,Neutral
361,62,49,Email,2026-07-24,0,No Response
362,62,49,Meeting,2026-06-12,27,Positive - Advancing
363,62,49,Call,2026-07-21,5,No Response
364,63,73,Email,2026-04-10,0,Positive - Advancing
365,63,73,Email,2026-03-24,0,No Response
366,64,1,Email,2025-08-27,0,Positive - Advancing
367,64,1,Call,2025-09-23,17,Positive - Advancing
368,64,1,Call,2025-12-13,31,Neutral
369,64,1,Call,2025-08-13,52,Negative / Objection
370,64,1,Email,2025-12-07,0,Positive - Advancing
371,64,1,Meeting,2025-08-27,26,No Response
372,64,1,Email,2025-09-09,0,Negative / Objection
373,64,1,Call,2025-09-28,24,Positive - Advancing
374,64,1,Meeting,2025-12-12,10,Positive - Advancing
375,64,1,Meeting,2025-12-13,29,Positive - Advancing
376,64,1,Email,2025-10-15,0,Positive - Advancing
377,64,1,Email,2025-11-21,0,Positive - Advancing
378,64,1,Call,2025-11-07,22,Positive - Advancing
379,65,72,Call,2026-05-14,38,Positive - Advancing
380,65,72,Email,2026-06-29,0,Positive - Advancing
381,65,72,Demo,2026-07-05,15,No Response
382,65,72,Email,2026-07-06,0,Positive - Advancing
383,65,72,Call,2026-05-16,13,Negative / Objection
384,66,123,Call,2025-05-18,8,Positive - Advancing
385,66,123,Call,2025-05-28,36,Neutral
386,66,123,Proposal Discussion,2025-05-20,0,No Response
387,66,123,Demo,2025-05-24,9,Negative / Objection
388,66,123,Call,2025-04-24,21,Positive - Advancing
389,66,123,Call,2025-05-31,38,Negative / Objection
390,67,72,Proposal Discussion,2025-09-08,0,Neutral
391,67,72,Email,2025-09-12,0,Positive - Advancing
392,67,72,Call,2025-10-18,39,No Response
393,67,72,Email,2025-09-08,0,Positive - Advancing
394,67,72,Call,2025-09-07,52,Neutral
395,68,6,Meeting,2024-07-14,7,Positive - Advancing
396,68,6,Call,2024-04-27,15,Positive - Advancing
397,68,6,Email,2024-04-21,0,Negative / Objection
398,68,6,Call,2024-08-29,30,Positive - Advancing
399,68,6,Call,2024-05-04,43,Positive - Advancing
400,68,6,Call,2024-05-26,6,No Response
401,68,6,Meeting,2024-08-13,29,Positive - Advancing
402,68,6,Email,2024-04-24,0,Positive - Advancing
403,69,2,Call,2025-11-26,38,Positive - Advancing
404,69,2,Email,2025-11-21,0,Neutral
405,69,2,Demo,2025-12-25,33,No Response
406,70,147,Proposal Discussion,2024-08-30,0,Positive - Advancing
407,70,147,Proposal Discussion,2024-10-14,0,No Response
408,70,147,Meeting,2024-10-28,25,Neutral
409,70,147,Call,2024-08-29,59,Neutral
410,71,130,Proposal Discussion,2024-05-04,0,Positive - Advancing
411,71,130,Call,2024-03-20,5,Neutral
412,71,130,Meeting,2024-03-21,22,Neutral
413,71,130,Call,2024-04-25,5,Neutral
414,72,95,Call,2024-03-24,44,Positive - Advancing
415,72,95,Demo,2024-05-30,24,Positive - Advancing
416,72,95,Demo,2024-04-13,34,Positive - Advancing
417,72,95,Proposal Discussion,2024-04-09,0,Negative / Objection
418,72,95,Email,2024-05-26,0,No Response
419,72,95,Email,2024-05-14,0,No Response
420,72,95,Email,2024-04-16,0,Positive - Advancing
421,72,95,Demo,2024-05-06,33,Positive - Advancing
422,72,95,Meeting,2024-05-06,41,No Response
423,73,12,Demo,2025-12-24,42,No Response
424,73,12,Email,2025-12-05,0,Positive - Advancing
425,73,12,Demo,2025-12-27,14,Positive - Advancing
426,73,12,Meeting,2025-12-03,6,Positive - Advancing
427,73,12,Email,2025-12-28,0,Positive - Advancing
428,73,12,Demo,2025-12-17,48,Positive - Advancing
429,73,12,Email,2025-12-09,0,Positive - Advancing
430,74,92,Email,2025-04-25,0,Negative / Objection
431,74,92,Email,2025-04-29,0,Negative / Objection
432,74,92,Call,2025-03-18,9,Neutral
433,75,108,Call,2025-10-31,28,Neutral
434,75,108,Meeting,2025-12-04,31,Neutral
435,75,108,Call,2025-10-24,34,Positive - Advancing
436,75,108,Meeting,2026-01-23,34,Negative / Objection
437,75,108,Meeting,2025-10-24,16,Positive - Advancing
438,76,109,Call,2025-01-26,34,Neutral
439,76,109,Email,2025-02-18,0,Positive - Advancing
440,76,109,Call,2025-01-29,29,Positive - Advancing
441,76,109,Proposal Discussion,2025-01-24,0,Positive - Advancing
442,76,109,Call,2025-02-18,8,Negative / Objection
443,76,109,Email,2025-02-13,0,Positive - Advancing
444,76,109,Email,2025-02-18,0,Positive - Advancing
445,76,109,Call,2025-02-03,5,No Response
446,76,109,Email,2025-01-20,0,No Response
447,77,107,Call,2024-07-02,9,Positive - Advancing
448,77,107,Meeting,2024-07-02,34,Neutral
449,77,107,Demo,2024-07-07,33,Positive - Advancing
450,78,170,Email,2025-10-05,0,Positive - Advancing
451,78,170,Meeting,2025-10-11,28,Negative / Objection
452,78,170,Meeting,2025-10-17,37,Positive - Advancing
453,78,170,Email,2025-09-26,0,No Response
454,78,170,Call,2025-10-29,31,Positive - Advancing
455,78,170,Email,2025-11-03,0,Positive - Advancing
456,78,170,Call,2025-11-03,38,Positive - Advancing
457,79,5,Call,2026-09-07,5,Neutral
458,79,5,Email,2026-05-31,0,No Response
459,80,112,Meeting,2024-11-06,18,Neutral
460,80,112,Call,2024-08-31,26,No Response
461,81,160,Email,2026-04-10,0,Positive - Advancing
462,81,160,Email,2026-04-14,0,Positive - Advancing
463,81,160,Email,2026-03-31,0,Positive - Advancing
464,81,160,Call,2026-02-26,38,Positive - Advancing
465,81,160,Meeting,2026-04-01,38,Neutral
466,81,160,Call,2026-04-20,30,Positive - Advancing
467,81,160,Call,2026-02-21,29,Negative / Objection
468,82,159,Email,2026-08-31,0,Positive - Advancing
469,82,159,Proposal Discussion,2026-08-27,0,Neutral
470,82,159,Meeting,2026-08-24,53,Positive - Advancing
471,82,159,Call,2026-08-30,40,Negative / Objection
472,82,159,Meeting,2026-08-15,25,Neutral
473,82,159,Proposal Discussion,2026-08-17,0,Positive - Advancing
474,82,159,Email,2026-09-16,0,Neutral
475,82,159,Email,2026-09-17,0,Neutral
476,82,159,Call,2026-09-07,63,Positive - Advancing
477,83,28,Email,2025-08-27,0,Positive - Advancing
478,83,28,Call,2025-04-14,33,Positive - Advancing
479,83,28,Demo,2025-08-27,9,Negative / Objection
480,83,28,Call,2025-09-09,54,Negative / Objection
481,83,28,Call,2025-06-07,38,No Response
482,84,122,Email,2025-09-15,0,Positive - Advancing
483,84,122,Meeting,2025-08-14,28,Positive - Advancing
484,84,122,Call,2025-08-17,14,Negative / Objection
485,84,122,Call,2025-08-14,42,Neutral
486,84,122,Proposal Discussion,2025-08-20,0,Negative / Objection
487,84,122,Email,2025-08-18,0,Neutral
488,84,122,Email,2025-08-28,0,No Response
489,85,45,Demo,2024-12-27,35,Neutral
490,85,45,Call,2025-03-30,22,Neutral
491,85,45,Email,2025-03-03,0,Positive - Advancing
492,85,45,Meeting,2024-12-23,11,Negative / Objection
493,85,45,Email,2024-12-21,0,Positive - Advancing
494,85,45,Call,2025-03-03,34,No Response
495,85,45,Meeting,2025-02-15,17,Positive - Advancing
496,85,45,Call,2025-01-20,41,Positive - Advancing
497,86,7,Proposal Discussion,2026-04-08,0,Positive - Advancing
498,86,7,Call,2026-03-28,25,Neutral
499,86,7,Call,2026-03-15,13,Positive - Advancing
500,86,7,Email,2026-03-11,0,Negative / Objection
