opportunity_id,account_id,contact_id,lead_id,rep_id,product_id,source,created_date,deal_value,discount_requested_pct,num_stakeholders,expected_close_date,actual_close_date,stage,stage_reached_before_close,close_status,lost_reason,sales_cycle_days_planned
45,84350,168647,166,78,15,Inbound - Web,2025-07-07,8000.0,2.7,3,2025-08-08,2025-08-08,Closed Won,Negotiation,Closed Won,,32
46,35139,70349,172,142,14,Inbound - Web,2026-06-06,7600.0,0.0,3,2026-07-15,2026-07-15,Closed Lost,Proposal,Closed Lost,Pricing Too High,39
47,69635,139310,174,24,11,Outbound - Email,2024-10-26,24500.0,6.8,2,2024-12-19,2024-12-19,Closed Won,Negotiation,Closed Won,,54
48,35364,70812,181,155,9,Inbound - Web,2025-01-11,10100.0,8.2,1,2025-02-22,2025-02-22,Closed Lost,Negotiation,Closed Lost,Pricing Too High,42
49,10696,21431,182,128,6,Outbound - Email,2025-05-08,86300.0,18.9,3,2025-06-24,2025-06-24,Closed Won,Negotiation,Closed Won,,47
50,21703,43452,185,170,6,Outbound - Email,2024-06-03,224400.0,13.1,2,2024-07-24,2024-07-24,Closed Lost,Negotiation,Closed Lost,Budget Constraints,51
51,61026,122107,188,76,15,Partner Channel,2026-07-03,57900.0,14.5,8,2026-11-09,,Proposal,Proposal,Open,,129
52,94536,189131,189,81,11,Partner Channel,2025-04-11,114000.0,21.5,4,2025-12-13,2025-12-13,Closed Lost,Proposal,Closed Lost,Champion Left Company,246
53,64629,129299,195,18,4,Referral,2025-04-25,546800.0,9.0,2,2025-05-25,2025-05-25,Closed Lost,Proposal,Closed Lost,Chose Competitor,30
54,118639,237355,197,99,9,Trade Show / Event,2025-01-12,83500.0,10.7,8,2025-05-28,2025-05-28,Closed Lost,Negotiation,Closed Lost,Feature Gap,136
55,107719,215536,198,179,5,Referral,2026-05-03,16000.0,0.0,1,2026-05-31,2026-05-31,Closed Won,Negotiation,Closed Won,,28
56,109242,218581,200,70,7,Outbound - Email,2025-08-09,53000.0,6.5,3,2025-10-04,2025-10-04,Closed Lost,Negotiation,Closed Lost,Chose Competitor,56
57,29448,58981,202,158,10,Referral,2024-03-02,39000.0,3.1,2,2024-04-17,2024-04-17,Closed Won,Negotiation,Closed Won,,46
58,3321,6622,212,55,13,Trade Show / Event,2026-02-11,21900.0,13.5,1,2026-03-17,2026-03-17,Closed Won,Negotiation,Closed Won,,34
59,50786,101458,220,158,7,Inbound - Web,2025-08-22,159300.0,17.8,3,2025-12-01,2025-12-01,Closed Won,Negotiation,Closed Won,,101
60,91685,183374,224,19,6,Referral,2025-11-02,316900.0,8.7,3,2025-12-30,2025-12-30,Closed Lost,Proposal,Closed Lost,No Decision / Timing,58
61,113013,226160,226,30,16,Inbound - Web,2025-04-23,6500.0,10.7,3,2025-06-25,2025-06-25,Closed Lost,Proposal,Closed Lost,Champion Left Company,63
62,18488,36976,229,49,5,Outbound - Email,2026-04-27,85400.0,5.4,4,2026-07-28,2026-07-28,Closed Won,Negotiation,Closed Won,,92
63,91654,183314,230,73,3,Partner Channel,2026-03-22,86600.0,12.4,2,2026-05-06,2026-05-06,Closed Won,Negotiation,Closed Won,,45
64,86027,172027,231,1,16,Referral,2025-07-24,243900.0,12.0,5,2025-12-14,2025-12-14,Closed Won,Negotiation,Closed Won,,143
65,92074,184156,237,72,13,Partner Channel,2026-05-02,49800.0,8.7,2,2026-07-28,2026-07-28,Closed Won,Negotiation,Closed Won,,87
66,70253,140532,238,123,7,Inbound - Web,2025-04-18,13200.0,2.1,3,2025-06-05,2025-06-05,Closed Lost,Negotiation,Closed Lost,Pricing Too High,48
67,83312,166585,241,72,16,Trade Show / Event,2025-09-06,68900.0,11.1,4,2025-11-08,2025-11-08,Closed Lost,Proposal,Closed Lost,Chose Competitor,63
68,45536,91036,242,6,4,Trade Show / Event,2024-04-07,869600.0,13.9,2,2024-09-16,2024-09-16,Closed Lost,Proposal,Closed Lost,No Decision / Timing,162
69,15050,30182,248,2,9,Outbound - Cold Call,2025-11-16,35200.0,6.4,4,2025-12-27,2025-12-27,Closed Won,Negotiation,Closed Won,,41
70,107578,215265,249,147,11,Inbound - Web,2024-08-26,83400.0,12.1,1,2024-10-31,2024-10-31,Closed Lost,Negotiation,Closed Lost,Budget Constraints,66
71,38804,77631,250,130,6,Inbound - Web,2024-03-06,384300.0,6.5,3,2024-05-04,2024-05-04,Closed Won,Negotiation,Closed Won,,59
72,118760,237593,253,95,16,Inbound - Web,2024-03-13,31800.0,7.0,3,2024-05-31,2024-05-31,Closed Won,Negotiation,Closed Won,,79
73,45131,90210,254,12,15,Trade Show / Event,2025-12-01,17900.0,3.8,1,2025-12-29,2025-12-29,Closed Lost,Proposal,Closed Lost,Chose Competitor,28
74,62838,125735,258,92,3,Referral,2025-03-02,101500.0,0.0,4,2025-05-01,2025-05-01,Closed Lost,Proposal,Closed Lost,Pricing Too High,60
75,20293,40619,266,108,16,Outbound - Email,2025-10-02,41500.0,13.2,3,2026-01-24,2026-01-24,Closed Won,Negotiation,Closed Won,,114
76,101242,202537,267,109,14,Inbound - Web,2025-01-16,5800.0,7.9,1,2025-02-19,2025-02-19,Closed Lost,Proposal,Closed Lost,Chose Competitor,34
77,76440,152908,268,107,4,Inbound - Web,2024-07-01,370500.0,12.0,1,2024-07-28,2024-07-28,Closed Won,Negotiation,Closed Won,,27
78,43269,86534,269,170,15,Inbound - Web,2025-09-17,48600.0,13.7,1,2025-11-06,2025-11-06,Closed Lost,Proposal,Closed Lost,Chose Competitor,50
79,7573,15177,272,5,2,Outbound - Cold Call,2026-05-29,143000.0,6.4,3,2026-09-26,,Negotiation,Negotiation,Open,,120
80,103872,207913,276,112,6,Inbound - Web,2024-08-28,202100.0,2.6,4,2024-11-07,2024-11-07,Closed Lost,Proposal,Closed Lost,Budget Constraints,71
81,45189,90323,277,160,6,Inbound - Web,2026-02-21,175900.0,0.0,5,2026-04-20,2026-04-20,Closed Lost,Proposal,Closed Lost,Feature Gap,58
82,77949,155902,278,159,7,Outbound - Cold Call,2026-08-13,111600.0,16.1,7,2026-12-27,,Needs Analysis,Needs Analysis,Open,,136
83,55783,111555,280,28,6,Referral,2025-03-09,200800.0,6.4,6,2025-09-18,2025-09-18,Closed Lost,Proposal,Closed Lost,Chose Competitor,193
84,39245,78507,281,122,12,Outbound - Email,2025-08-13,69500.0,0.9,2,2025-09-16,2025-09-16,Closed Won,Negotiation,Closed Won,,34
85,28547,57193,285,45,1,Outbound - Cold Call,2024-12-21,263500.0,16.3,4,2025-04-05,2025-04-05,Closed Lost,Negotiation,Closed Lost,Chose Competitor,105
86,92850,185758,291,7,12,Partner Channel,2026-03-11,78300.0,3.7,1,2026-04-25,2026-04-25,Closed Lost,Negotiation,Closed Lost,No Decision / Timing,45
87,109382,218869,296,128,7,Referral,2025-10-22,75200.0,11.6,4,2025-12-31,2025-12-31,Closed Lost,Negotiation,Closed Lost,No Decision / Timing,70
88,28496,57091,298,117,14,Referral,2026-01-30,6600.0,9.9,3,2026-03-25,2026-03-25,Closed Lost,Proposal,Closed Lost,Pricing Too High,54
89,52372,104678,299,116,8,Inbound - Web,2026-04-27,46300.0,9.8,1,2026-07-11,2026-07-11,Closed Lost,Proposal,Closed Lost,Chose Competitor,75
90,52086,104104,301,117,5,Referral,2025-03-21,69300.0,11.1,3,2025-07-06,2025-07-06,Closed Won,Negotiation,Closed Won,,107
91,101622,203328,304,81,3,Trade Show / Event,2024-04-24,314200.0,17.7,1,2024-06-09,2024-06-09,Closed Lost,Negotiation,Closed Lost,Budget Constraints,46
92,5073,10197,305,5,8,Inbound - Web,2024-02-13,270700.0,5.0,4,2024-04-19,2024-04-19,Closed Lost,Proposal,Closed Lost,Champion Left Company,66
93,24591,49220,306,145,1,Outbound - Email,2026-01-12,474000.0,15.2,2,2026-04-07,2026-04-07,Closed Lost,Negotiation,Closed Lost,Feature Gap,85
94,119053,238187,311,66,16,Trade Show / Event,2026-03-16,161300.0,9.6,1,2026-04-26,2026-04-26,Closed Lost,Negotiation,Closed Lost,Pricing Too High,41
95,105000,210164,312,81,6,Partner Channel,2025-04-12,324600.0,3.4,2,2025-05-20,2025-05-20,Closed Lost,Negotiation,Closed Lost,Chose Competitor,38
96,70237,140501,313,129,14,Referral,2025-12-12,13300.0,9.6,6,2026-01-19,2026-01-19,Closed Lost,Negotiation,Closed Lost,No Decision / Timing,38
97,11416,22872,318,78,13,Referral,2024-12-13,25300.0,9.1,3,2025-02-03,2025-02-03,Closed Lost,Proposal,Closed Lost,Budget Constraints,52
98,2909,5804,319,79,14,Inbound - Web,2024-05-10,4400.0,7.1,2,2024-06-28,2024-06-28,Closed Lost,Negotiation,Closed Lost,Chose Competitor,49
99,106123,212317,320,145,5,Partner Channel,2025-03-01,152600.0,15.6,10,2026-04-05,2026-04-05,Closed Lost,Negotiation,Closed Lost,Budget Constraints,400
100,32061,64229,321,63,6,Trade Show / Event,2026-05-25,115500.0,6.8,2,2026-06-30,2026-06-30,Closed Won,Negotiation,Closed Won,,36
101,82676,165309,325,81,13,Outbound - Email,2026-01-10,21900.0,3.4,4,2026-02-22,2026-02-22,Closed Lost,Proposal,Closed Lost,Pricing Too High,43
102,32638,65365,330,82,11,Inbound - Web,2024-07-27,31400.0,10.4,2,2024-10-09,2024-10-09,Closed Won,Negotiation,Closed Won,,74
103,119925,239963,331,167,3,Inbound - Web,2024-11-12,563400.0,16.0,2,2024-12-16,2024-12-16,Closed Won,Negotiation,Closed Won,,34
104,53830,107650,332,56,8,Referral,2024-04-07,131600.0,8.1,4,2024-08-08,2024-08-08,Closed Lost,Proposal,Closed Lost,Champion Left Company,123
105,79660,159299,334,92,7,Partner Channel,2026-07-21,90600.0,4.6,6,2026-11-23,,Proposal,Proposal,Open,,125
106,107887,215891,338,8,1,Outbound - Cold Call,2024-02-16,87200.0,9.5,1,2024-04-11,2024-04-11,Closed Lost,Negotiation,Closed Lost,No Decision / Timing,55
107,80377,160736,339,32,15,Inbound - Web,2025-05-11,147500.0,6.8,6,2025-12-13,2025-12-13,Closed Won,Negotiation,Closed Won,,216
108,29647,59403,346,47,13,Outbound - Email,2024-01-12,19200.0,6.0,1,2024-03-02,2024-03-02,Closed Won,Negotiation,Closed Won,,50
109,58724,117460,348,150,14,Outbound - Cold Call,2024-10-17,20300.0,3.7,6,2025-01-18,2025-01-18,Closed Won,Negotiation,Closed Won,,93
110,45168,90280,351,30,1,Partner Channel,2025-04-29,304800.0,23.6,5,2025-07-28,2025-07-28,Closed Won,Negotiation,Closed Won,,90
111,86673,173330,361,88,10,Referral,2026-04-25,58200.0,1.9,2,2026-06-22,2026-06-22,Closed Lost,Negotiation,Closed Lost,Feature Gap,58
112,33429,66902,363,39,8,Partner Channel,2026-02-14,21200.0,4.7,2,2026-03-18,2026-03-18,Closed Won,Negotiation,Closed Won,,32
113,19786,39596,366,158,4,Inbound - Web,2024-10-26,388100.0,19.6,3,2025-01-05,2025-01-05,Closed Lost,Negotiation,Closed Lost,Champion Left Company,71
114,56293,112578,367,162,15,Referral,2025-09-21,19300.0,0.0,1,2025-12-17,2025-12-17,Closed Lost,Proposal,Closed Lost,Pricing Too High,87
115,99942,199890,374,158,12,Trade Show / Event,2024-05-08,13000.0,0.6,2,2024-06-28,2024-06-28,Closed Lost,Negotiation,Closed Lost,Feature Gap,51
116,51533,102997,377,102,8,Inbound - Web,2024-09-16,416300.0,11.1,5,2025-01-06,2025-01-06,Closed Won,Negotiation,Closed Won,,112
117,87118,174216,379,154,8,Outbound - Cold Call,2025-03-03,62600.0,2.6,2,2025-04-24,2025-04-24,Closed Lost,Proposal,Closed Lost,Feature Gap,52
118,108056,216220,386,136,12,Outbound - Email,2025-06-12,69300.0,0.0,2,2025-06-30,2025-06-30,Closed Won,Negotiation,Closed Won,,18
119,86293,172572,390,19,13,Outbound - Cold Call,2025-12-24,37500.0,1.1,1,2026-03-02,2026-03-02,Closed Lost,Proposal,Closed Lost,Feature Gap,68
120,51110,102136,396,108,1,Referral,2024-09-27,247400.0,9.0,2,2024-11-20,2024-11-20,Closed Won,Negotiation,Closed Won,,54
121,71031,142082,397,52,15,Outbound - Email,2025-03-10,56500.0,17.2,2,2025-07-09,2025-07-09,Closed Won,Negotiation,Closed Won,,121
122,10863,21768,399,31,4,Inbound - Web,2024-06-17,2300200.0,14.9,7,2024-09-16,2024-09-16,Closed Won,Negotiation,Closed Won,,91
123,7973,15978,401,147,16,Inbound - Web,2026-04-29,23600.0,0.0,2,2026-06-05,2026-06-05,Closed Won,Negotiation,Closed Won,,37
124,45244,90428,404,145,14,Referral,2025-03-16,14600.0,0.0,6,2025-06-01,2025-06-01,Closed Lost,Proposal,Closed Lost,Champion Left Company,77
125,11411,22861,405,91,12,Outbound - Cold Call,2024-11-08,24100.0,4.2,3,2024-11-25,2024-11-25,Closed Won,Negotiation,Closed Won,,17
126,70570,141164,408,127,14,Partner Channel,2025-06-10,19700.0,13.1,4,2025-07-22,2025-07-22,Closed Lost,Negotiation,Closed Lost,Pricing Too High,42
127,55492,110964,409,74,8,Outbound - Cold Call,2025-02-23,244500.0,13.6,3,2025-06-23,2025-06-23,Closed Lost,Negotiation,Closed Lost,No Decision / Timing,120
128,86244,172480,414,71,8,Referral,2025-03-02,91900.0,9.7,1,2025-04-18,2025-04-18,Closed Won,Negotiation,Closed Won,,47
129,9017,18127,415,79,8,Trade Show / Event,2024-02-18,39700.0,17.8,3,2024-04-28,2024-04-28,Closed Lost,Negotiation,Closed Lost,Champion Left Company,70
130,80187,160359,421,137,1,Outbound - Email,2024-06-05,584700.0,7.6,7,2024-08-29,2024-08-29,Closed Lost,Proposal,Closed Lost,No Decision / Timing,85
131,39345,78704,422,145,9,Partner Channel,2024-12-29,30600.0,1.8,2,2025-02-25,2025-02-25,Closed Lost,Proposal,Closed Lost,Chose Competitor,58
132,87615,175210,423,55,5,Outbound - Email,2025-07-31,252200.0,15.8,3,2025-10-30,2025-10-30,Closed Lost,Negotiation,Closed Lost,No Decision / Timing,91
133,8003,16034,425,166,13,Referral,2024-02-20,13500.0,7.9,3,2024-04-27,2024-04-27,Closed Lost,Proposal,Closed Lost,No Decision / Timing,67
134,60053,120170,442,33,14,Outbound - Cold Call,2024-04-24,14200.0,7.0,2,2024-07-18,2024-07-18,Closed Lost,Negotiation,Closed Lost,Pricing Too High,85
135,69419,138863,446,122,9,Inbound - Web,2025-02-18,58700.0,16.4,5,2025-05-27,2025-05-27,Closed Lost,Negotiation,Closed Lost,Budget Constraints,98
136,101688,203466,449,10,5,Partner Channel,2025-09-10,65800.0,19.4,2,2025-12-04,2025-12-04,Closed Won,Negotiation,Closed Won,,85
137,18268,36534,450,152,12,Inbound - Web,2025-03-12,88800.0,19.2,3,2025-09-08,2025-09-08,Closed Won,Negotiation,Closed Won,,180
138,5266,10591,451,165,16,Trade Show / Event,2024-06-15,25900.0,0.0,1,2024-08-12,2024-08-12,Closed Won,Negotiation,Closed Won,,58
139,3788,7560,457,136,10,Inbound - Web,2024-05-23,462600.0,11.8,6,2024-09-13,2024-09-13,Closed Lost,Proposal,Closed Lost,Champion Left Company,113
140,22489,45014,458,29,6,Inbound - Web,2024-10-01,2040300.0,27.5,6,2025-01-25,2025-01-25,Closed Lost,Proposal,Closed Lost,Feature Gap,116
141,98411,196864,461,46,6,Trade Show / Event,2025-08-07,307400.0,15.0,1,2025-09-04,2025-09-04,Closed Lost,Proposal,Closed Lost,Champion Left Company,28
142,26216,52521,463,53,16,Referral,2025-05-01,48200.0,3.5,1,2025-05-29,2025-05-29,Closed Won,Negotiation,Closed Won,,28
143,99998,200008,464,30,7,Referral,2024-08-04,19500.0,7.6,3,2024-10-17,2024-10-17,Closed Won,Negotiation,Closed Won,,74
144,23486,47035,465,170,14,Referral,2026-08-15,5300.0,7.1,2,2026-09-11,2026-09-11,Closed Won,Negotiation,Closed Won,,27
145,30054,60233,469,142,9,Inbound - Web,2025-04-07,96400.0,9.4,2,2025-06-09,2025-06-09,Closed Lost,Negotiation,Closed Lost,Champion Left Company,63
146,61370,122792,471,24,8,Outbound - Cold Call,2025-04-19,27600.0,8.0,3,2025-05-26,2025-05-26,Closed Lost,Negotiation,Closed Lost,Champion Left Company,37
147,34235,68534,472,152,2,Inbound - Web,2024-11-30,177900.0,11.7,1,2024-12-23,2024-12-23,Closed Won,Negotiation,Closed Won,,23
148,16802,33643,474,77,12,Trade Show / Event,2024-06-08,72700.0,6.6,6,2024-08-28,2024-08-28,Closed Lost,Proposal,Closed Lost,No Decision / Timing,81
149,77655,155308,478,13,6,Outbound - Email,2026-02-28,153100.0,17.1,1,2026-04-01,2026-04-01,Closed Won,Negotiation,Closed Won,,32
150,93497,187056,480,75,15,Inbound - Web,2025-01-26,24100.0,11.0,6,2025-04-11,2025-04-11,Closed Lost,Proposal,Closed Lost,Champion Left Company,75
151,86145,172266,481,8,5,Referral,2026-06-18,85500.0,8.6,1,2026-07-23,2026-07-23,Closed Won,Negotiation,Closed Won,,35
152,48184,96305,482,30,5,Outbound - Email,2024-12-18,78300.0,6.3,6,2025-04-17,2025-04-17,Closed Lost,Proposal,Closed Lost,Champion Left Company,120
153,10883,21805,483,73,4,Partner Channel,2026-05-28,101300.0,17.3,4,2026-08-01,2026-08-01,Closed Lost,Proposal,Closed Lost,Champion Left Company,65
154,85352,170702,485,144,2,Referral,2025-01-25,293300.0,16.0,5,2025-03-24,2025-03-24,Closed Lost,Proposal,Closed Lost,Pricing Too High,58
155,4813,9661,486,43,11,Referral,2025-04-01,40000.0,10.7,6,2025-06-28,2025-06-28,Closed Won,Negotiation,Closed Won,,88
156,115038,230229,489,162,2,Outbound - Cold Call,2024-12-21,386400.0,16.6,8,2025-03-10,2025-03-10,Closed Lost,Proposal,Closed Lost,Champion Left Company,79
157,30942,61996,490,55,6,Partner Channel,2024-10-18,483600.0,23.1,3,2025-02-05,2025-02-05,Closed Lost,Proposal,Closed Lost,Chose Competitor,110
158,42528,85068,493,110,3,Inbound - Web,2026-03-24,239700.0,6.9,3,2026-06-24,2026-06-24,Closed Lost,Proposal,Closed Lost,Budget Constraints,92
159,30371,60885,496,117,7,Inbound - Web,2026-05-13,70100.0,8.2,2,2026-09-05,2026-09-05,Closed Lost,Proposal,Closed Lost,Pricing Too High,115
160,115990,232130,499,90,5,Inbound - Web,2024-12-02,44300.0,9.9,5,2025-01-26,2025-01-26,Closed Won,Negotiation,Closed Won,,55
161,86639,173269,500,92,12,Referral,2025-04-03,33400.0,4.2,6,2025-06-27,2025-06-27,Closed Lost,Negotiation,Closed Lost,Feature Gap,85
162,84550,169062,508,94,6,Outbound - Cold Call,2026-02-11,550900.0,10.5,6,2026-07-11,2026-07-11,Closed Won,Negotiation,Closed Won,,150
163,115491,231124,509,23,10,Inbound - Web,2024-03-20,73900.0,10.7,2,2024-05-22,2024-05-22,Closed Lost,Negotiation,Closed Lost,Feature Gap,63
164,16583,33204,512,81,8,Referral,2024-09-26,86200.0,8.8,2,2024-11-05,2024-11-05,Closed Lost,Proposal,Closed Lost,Chose Competitor,40
165,110244,220568,513,50,5,Referral,2026-01-21,87000.0,14.5,2,2026-03-27,2026-03-27,Closed Lost,Proposal,Closed Lost,Chose Competitor,65
166,114423,229021,514,179,1,Referral,2024-04-26,305400.0,9.9,5,2024-07-31,2024-07-31,Closed Lost,Proposal,Closed Lost,Feature Gap,96
167,23814,47690,515,109,15,Inbound - Web,2026-05-02,87000.0,12.0,5,2026-09-12,2026-09-12,Closed Lost,Negotiation,Closed Lost,Chose Competitor,133
168,34645,69344,522,153,13,Outbound - Cold Call,2025-01-28,162900.0,15.2,7,2025-05-14,2025-05-14,Closed Lost,Negotiation,Closed Lost,No Decision / Timing,106
169,45564,91087,526,57,7,Inbound - Web,2026-01-20,60200.0,16.9,1,2026-04-07,2026-04-07,Closed Lost,Negotiation,Closed Lost,Chose Competitor,77
170,70606,141234,527,15,2,Outbound - Cold Call,2025-10-26,404100.0,3.9,6,2025-12-24,2025-12-24,Closed Lost,Proposal,Closed Lost,Champion Left Company,59
171,16512,33073,529,124,10,Outbound - Email,2026-02-28,52700.0,3.7,3,2026-04-18,2026-04-18,Closed Won,Negotiation,Closed Won,,49
172,103743,207638,530,170,5,Outbound - Email,2025-07-03,28900.0,8.4,1,2025-08-14,2025-08-14,Closed Lost,Proposal,Closed Lost,Champion Left Company,42
173,74430,148935,534,142,12,Inbound - Web,2024-08-18,24900.0,5.3,2,2024-09-22,2024-09-22,Closed Won,Negotiation,Closed Won,,35
174,115870,231886,535,107,1,Referral,2024-03-06,119500.0,8.5,2,2024-04-09,2024-04-09,Closed Won,Negotiation,Closed Won,,34
